NumRobots, Num Rounds, REBID FCSS, MPGM FCSS, REBID FSS, MPGM FSS, FLIP
20,30,607239,607135,20261,20222,FALSE
20,30,609041,609080,19846,19868,FALSE
20,30,606596,606301,19936,19945,TRUE
20,30,607019,606320,20032,19743,FALSE
20,30,612707,612729,20026,19936,FALSE
20,30,604578,604592,19887,19901,FALSE
20,30,603797,603699,20011,19929,FALSE
20,30,608358,608258,20020,19920,FALSE
20,30,606642,606626,19913,19897,FALSE
20,30,614736,614815,20080,20159,FALSE
20,40,806780,806266,20319,20207,FALSE
20,40,803907,803521,20123,19956,FALSE
20,40,811107,810931,20283,20271,FALSE
20,40,812503,811781,20212,20183,FALSE
20,40,810024,809906,20146,20138,FALSE
20,40,812621,812557,20057,19993,FALSE
20,40,806665,806344,20185,20174,FALSE
20,40,818219,815599,20298,19885,FALSE
20,40,803231,804014,19941,20101,FALSE
20,40,812358,811625,20402,20405,TRUE
20,50,1012038,1012541,20239,20228,FALSE
20,50,1019231,1017673,20316,20247,FALSE
20,50,1011137,1010832,20188,20161,FALSE
20,50,1017172,1016850,20378,20300,FALSE
20,50,1010197,1010072,20235,20242,TRUE
20,50,1004125,1008200,20174,20353,FALSE
20,50,1000937,1000828,20034,19925,FALSE
20,50,1022369,1020340,20401,20386,FALSE
20,50,1022317,1023038,20215,20127,FALSE
20,50,993987,994008,19972,20031,FALSE
20,60,1216966,1216726,20339,20286,FALSE
20,60,1212764,1212779,20258,20325,FALSE
20,60,1214167,1216829,20195,20274,FALSE
20,60,1221675,1220559,20380,20314,FALSE
20,60,1221150,1220818,20324,20358,TRUE
20,60,1212356,1212165,20278,20290,TRUE
20,60,1219103,1219020,20399,20326,FALSE
20,60,1215017,1214931,20241,20185,FALSE
20,60,1225477,1225481,20373,20527,FALSE
20,60,1203728,1203498,20149,20022,FALSE
20,70,1418269,1418192,20434,20345,FALSE
20,70,1425543,1425813,20513,20424,FALSE
20,70,1418589,1428611,20246,20375,FALSE
20,70,1400614,1398843,20260,20132,FALSE
20,70,1419461,1418971,20305,20286,FALSE
20,70,1418284,1413340,20502,20393,FALSE
20,70,1421919,1421959,20364,20525,FALSE
20,70,1406113,1405844,20196,20090,FALSE
20,70,1430607,1428940,20466,20406,FALSE
20,70,1420688,1420737,20343,20477,FALSE
20,80,1629918,1625044,20479,20437,FALSE
20,80,1611603,1611755,20302,20240,FALSE
20,80,1613255,1612036,20426,20400,FALSE
20,80,1634134,1633236,20460,20325,FALSE
20,80,1621946,1621134,20438,20333,FALSE
20,80,1618011,1618481,20346,20394,FALSE
20,80,1624388,1624720,20366,20369,FALSE
20,80,1619471,1618112,20384,20259,FALSE
20,80,1608720,1605420,20318,20302,FALSE
20,80,1610990,1610514,20335,20209,FALSE
20,90,1823132,1824259,20404,20670,FALSE
20,90,1814910,1814924,20321,20317,FALSE
20,90,1842019,1841786,20539,20570,TRUE
20,90,1819349,1816320,20537,20333,FALSE
20,90,1836188,1834694,20553,20386,FALSE
20,90,1830788,1829939,20527,20459,FALSE
20,90,1826782,1824835,20534,20481,FALSE
20,90,1828834,1829267,20471,20514,FALSE
20,90,1829468,1827989,20605,20467,FALSE
20,90,1826269,1825397,20472,20565,TRUE
20,100,2034358,2030482,20627,20669,TRUE
20,100,2019469,2017315,20440,20378,FALSE
20,100,2017671,2015220,20308,20345,TRUE
20,100,2035430,2034137,20592,20590,FALSE
20,100,2038015,2037300,20607,20491,FALSE
20,100,2032585,2031163,20494,20352,FALSE
20,100,2016801,2015667,20502,20462,FALSE
20,100,2022348,2022028,20368,20409,TRUE
20,100,2017285,2016553,20397,20446,TRUE
20,100,2036079,2036880,20590,20539,FALSE
30,10,481771,481717,44137,44083,FALSE
30,10,479477,479540,43871,43934,FALSE
30,10,484252,484322,44402,44472,FALSE
30,10,484147,484279,44403,44535,FALSE
30,10,484732,484734,44596,44598,FALSE
30,10,478710,478900,43864,44054,FALSE
30,10,481725,481573,44272,44120,FALSE
30,10,482965,482929,44361,44325,FALSE
30,10,483788,483829,44187,44228,FALSE
30,10,481003,481277,44140,44414,FALSE
30,20,931602,931582,45128,45108,FALSE
30,20,921491,921501,44648,44658,FALSE
30,20,918829,918947,44588,44706,FALSE
30,20,930223,930278,44932,44987,FALSE
30,20,926836,926760,44518,44442,FALSE
30,20,918617,919049,44276,44412,FALSE
30,20,932651,932628,44914,44891,FALSE
30,20,932786,932906,44840,44960,FALSE
30,20,925876,926632,44702,44890,FALSE
30,20,931911,931834,45037,44960,FALSE
30,30,1375065,1375064,45015,45014,FALSE
30,30,1373358,1373307,45134,45083,FALSE
30,30,1385131,1383217,45239,45219,FALSE
30,30,1376236,1376070,45103,44937,FALSE
30,30,1382687,1383010,45112,45292,FALSE
30,30,1373318,1373231,44960,44828,FALSE
30,30,1365551,1365614,44842,44905,FALSE
30,30,1388353,1388327,45196,45170,FALSE
30,30,1367500,1367332,44676,44508,FALSE
30,30,1375959,1377132,44827,44853,FALSE
30,40,1842102,1842597,45594,45713,FALSE
30,40,1816384,1816353,45042,45161,TRUE
30,40,1825549,1825370,45208,45129,FALSE
30,40,1838225,1838128,45155,45058,FALSE
30,40,1821571,1821820,45099,45142,FALSE
30,40,1815298,1813901,45028,45102,TRUE
30,40,1822543,1822410,45102,44969,FALSE
30,40,1832892,1832797,45737,45711,FALSE
30,40,1826842,1826756,45329,45330,TRUE
30,40,1831423,1831227,45368,45243,FALSE
30,50,2292030,2295387,45641,45629,FALSE
30,50,2268929,2269008,45291,45370,FALSE
30,50,2303595,2307079,45565,45725,FALSE
30,50,2295628,2296107,45619,45683,FALSE
30,50,2285852,2285840,45470,45496,TRUE
30,50,2271412,2271262,45130,45019,FALSE
30,50,2279885,2282495,45192,45429,FALSE
30,50,2280465,2280395,45202,45219,TRUE
30,50,2278544,2278501,45180,45106,FALSE
30,50,2291511,2291557,45536,45598,FALSE
30,60,2740007,2737586,45613,45458,FALSE
30,60,2733733,2733645,45519,45321,FALSE
30,60,2722051,2723563,45386,45605,FALSE
30,60,2730259,2729891,45491,45339,FALSE
30,60,2737764,2738203,45499,45537,FALSE
30,60,2719224,2719022,45212,45284,TRUE
30,60,2715663,2715472,45375,45268,FALSE
30,60,2724842,2728568,45243,45376,FALSE
30,60,2742329,2749007,45559,45790,FALSE
30,60,2739400,2740923,45598,45777,FALSE
30,70,3186809,3188094,45692,45757,FALSE
30,70,3223696,3223328,46022,45849,FALSE
30,70,3192989,3188975,45890,45623,FALSE
30,70,3185567,3186422,45705,45733,FALSE
30,70,3198487,3198426,45719,45747,TRUE
30,70,3213356,3212795,45913,45760,FALSE
30,70,3205774,3202462,45907,45983,TRUE
30,70,3177623,3177135,45466,45640,TRUE
30,70,3199090,3198532,45940,45758,FALSE
30,70,3190816,3190206,45422,45271,FALSE
30,80,3631514,3626349,45496,45852,TRUE
30,80,3643620,3648668,46005,46095,FALSE
30,80,3641511,3641802,45726,45731,FALSE
30,80,3669043,3666777,45851,45825,FALSE
30,80,3655137,3655807,45945,46129,FALSE
30,80,3628036,3644647,45460,45715,FALSE
30,80,3649227,3649839,45877,45787,FALSE
30,80,3648241,3647685,46009,45901,FALSE
30,80,3644043,3642455,45901,45823,FALSE
30,80,3677551,3677994,46008,45914,FALSE
30,90,4091827,4096681,45495,45635,FALSE
30,90,4124490,4124434,46223,46265,TRUE
30,90,4119784,4119770,45968,45927,FALSE
30,90,4104619,4110227,45830,45962,FALSE
30,90,4139773,4137795,46146,46028,FALSE
30,90,4116741,4116585,46047,45843,FALSE
30,90,4139475,4137236,46283,46165,FALSE
30,90,4112681,4112549,46067,46214,TRUE
30,90,4134211,4131514,46189,46121,FALSE
30,90,4119201,4118782,45841,45817,FALSE
30,100,4570496,4581689,46067,46111,FALSE
40,10,865452,865424,79277,79249,FALSE
40,10,863677,863763,79108,79194,FALSE
40,10,865836,865901,79024,79089,FALSE
40,10,866524,865912,79466,79252,FALSE
40,10,862697,862756,78778,78837,FALSE
40,10,859198,859121,78560,78483,FALSE
40,10,853185,853265,78079,78159,FALSE
40,10,864936,865009,79203,79276,FALSE
40,10,862865,862646,78926,78707,FALSE
40,10,860526,860731,78647,78852,FALSE
40,20,1655182,1655185,79248,79251,FALSE
40,20,1635643,1636054,78976,79127,FALSE
40,20,1641960,1642330,78693,79063,FALSE
40,20,1657437,1657482,79649,79694,FALSE
40,20,1648785,1648475,79373,79186,FALSE
40,20,1651817,1652041,79754,79978,FALSE
40,20,1649775,1649829,79605,79659,FALSE
40,20,1661294,1662735,79616,79860,FALSE
40,20,1647161,1647176,79091,79106,FALSE
40,20,1651932,1651954,79483,79595,FALSE
40,30,2456390,2458368,80023,80234,FALSE
40,30,2446155,2446448,79748,79845,FALSE
40,30,2447531,2447626,79631,79726,FALSE
40,30,2449961,2450077,80205,80321,FALSE
40,30,2461484,2461583,80410,80509,FALSE
40,30,2453098,2452999,80045,79946,FALSE
40,30,2447129,2447214,80156,80241,FALSE
40,30,2444150,2444254,79656,79743,FALSE
40,30,2440095,2439893,79636,79540,FALSE
40,30,2452472,2452608,79897,79940,FALSE
40,40,3279194,3279142,80975,80976,TRUE
40,40,3247522,3247576,80509,80563,FALSE
40,40,3238738,3238800,79897,79814,FALSE
40,40,3265930,3266003,80617,80690,FALSE
40,40,3262343,3261671,80691,80611,FALSE
40,40,3263338,3263157,80736,80555,FALSE
40,40,3257234,3259296,80240,80514,FALSE
40,40,3252287,3252316,80086,80115,FALSE
40,40,3232914,3232566,79983,79741,FALSE
40,40,3254864,3254662,80215,80013,FALSE
40,50,4072834,4072868,80915,80949,FALSE
40,50,4058427,4058378,80757,80708,FALSE
40,50,4075321,4075482,81152,81313,FALSE
40,50,4063779,4062176,80743,80544,FALSE
40,50,4061932,4061826,80807,80701,FALSE
40,50,4053363,4053490,80813,80821,FALSE
40,50,4052796,4050177,80671,80456,FALSE
40,50,4070622,4070393,80789,80703,FALSE
40,50,4058353,4058709,80704,80830,FALSE
40,50,4067379,4057314,80820,80247,FALSE
40,60,4887048,4888774,80783,80807,FALSE
40,60,4871939,4868240,81245,80882,FALSE
40,60,4864882,4864946,80829,80893,FALSE
40,60,4861846,4861749,80656,80559,FALSE
40,60,4871544,4871673,80680,80809,FALSE
40,60,4882904,4883401,80848,80781,FALSE
40,60,4865828,4864226,80990,80757,FALSE
40,60,4839460,4838399,80368,80299,FALSE
40,60,4888593,4889762,80923,81004,FALSE
40,60,4864078,4864110,80576,80608,FALSE
40,70,5696401,5696212,81231,81031,FALSE
40,70,5693922,5693849,81473,81388,FALSE
40,70,5673458,5673894,81162,81122,FALSE
40,70,5673270,5673199,80942,80955,TRUE
40,70,5658602,5658395,80581,80489,FALSE
40,70,5671825,5671422,80891,80832,FALSE
40,70,5685122,5684260,81022,80937,FALSE
40,70,5665746,5656265,81122,80784,FALSE
40,70,5650567,5651272,80698,80745,FALSE
40,70,5713151,5713512,81686,81823,FALSE
50,10,1347453,1347538,123277,123362,FALSE
50,10,1352197,1352741,123435,123439,FALSE
50,10,1349120,1349379,123137,123396,FALSE
50,10,1352777,1352841,123503,123567,FALSE
50,10,1359200,1359298,124163,124261,FALSE
50,10,1354191,1354158,123488,123455,FALSE
50,10,1341284,1341462,122438,122616,FALSE
50,10,1349847,1349994,123102,123249,FALSE
50,10,1350688,1351343,123322,123716,FALSE
50,10,1348430,1348508,123109,123187,FALSE
50,20,2589217,2589263,124275,124321,FALSE
50,20,2558961,2559097,122589,122725,FALSE
50,20,2583283,2583219,124178,124114,FALSE
50,20,2606334,2606369,124818,124853,FALSE
50,20,2586666,2586548,123994,123876,FALSE
50,20,2586855,2586911,124053,124109,FALSE
50,20,2581288,2581251,124239,124202,FALSE
50,20,2595202,2594742,124488,124337,FALSE
50,20,2590899,2591225,124609,124935,FALSE
50,20,2594437,2594192,124159,123938,FALSE
50,30,3835220,3835046,124651,124761,TRUE
50,30,3825559,3825840,124113,124581,FALSE
50,30,3844872,3845058,125358,125544,FALSE
50,30,3856333,3856093,125367,125387,TRUE
50,30,3841823,3841835,125230,125304,FALSE
50,30,3837837,3837915,124639,124717,FALSE
50,30,3834623,3834875,124702,124954,FALSE
50,30,3834241,3834389,124526,124674,FALSE
50,30,3843400,3844270,124944,125018,FALSE
50,30,3852737,3852805,125377,125551,FALSE
50,40,5114216,5114200,125937,125921,FALSE
50,40,5092047,5091738,125683,125558,FALSE
50,40,5058303,5058686,125186,125187,FALSE
50,40,5114855,5113812,126185,125776,FALSE
50,40,5101363,5101277,125669,125583,FALSE
50,40,5068582,5068684,124741,124843,FALSE
50,40,5064756,5072625,124437,125207,FALSE
50,40,5083152,5081626,125046,124834,FALSE
50,40,5092208,5092174,125930,125896,FALSE
50,40,5089377,5089496,125220,125607,FALSE
50,50,6341138,6341222,125972,126056,FALSE
50,50,6323783,6323871,125565,125226,FALSE
50,50,6363389,6364342,126550,126530,FALSE
50,50,6334987,6334987,125507,125518,FALSE
50,50,6330910,6330443,125368,125279,FALSE
50,50,6337434,6337522,125940,126028,FALSE
50,50,6329422,6329539,125450,125490,FALSE
50,50,6369888,6369671,126275,126058,FALSE
50,50,6343615,6343480,126364,126229,FALSE
50,50,6359909,6359739,126079,125909,FALSE
50,60,7606912,7607072,125984,126144,FALSE
50,60,7622091,7621823,126493,126635,TRUE
50,60,7606139,7606156,126151,126168,FALSE
50,60,7595607,7595604,126053,126050,FALSE
50,60,7643055,7652743,126733,126815,FALSE
50,60,7610300,7604310,126428,126035,FALSE
50,60,7628386,7628477,126240,126331,FALSE
50,60,7616407,7617766,126228,126237,FALSE
